id,email,dog_name,breed_id,size,dog_friendly,people_friendly,energy,city,state,bio,createdAt,updatedAt,latitude,longitude
19,Jijilover2@test.com,Jiji,123,small,TRUE,TRUE,average,New York,CA,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.53818664,-116.6725893
20,Marleylover10@test.com,Marley,226,extra small,TRUE,TRUE,average,Honolulu,CA,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.54542905,-117.2450287
21,Maxinelover3@test.com,Maxine,356,extra small,TRUE,TRUE,average,Los Angeles,CA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.9602219,-117.6383477
22,Shadowlover12@test.com,Shadow,150,extra large,FALSE,TRUE,high,Denver,TX,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.05439799,-118.30987
23,Muggslover24@test.com,Muggs,13,medium,TRUE,TRUE,high,New York,TX,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.68088701,-117.5381808
24,Tiblitslover24@test.com,Tiblits,207,extra small,TRUE,FALSE,low,Honolulu,CA,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.59880326,-116.4010256
25,Angellover30@test.com,Angel,339,medium,FALSE,FALSE,average,Honolulu,HA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.02482912,-118.0148781
26,Busterlover14@test.com,Buster,106,medium,TRUE,FALSE,low,New York,TX,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.39705307,-117.964737
27,Salsalover18@test.com,Salsa,318,small,FALSE,TRUE,low,Dalas,CA,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.87808842,-116.8911723
28,Midnightlover27@test.com,Midnight,42,medium,FALSE,FALSE,high,Honolulu,CO,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.06537927,-117.2571455
29,Mindylover18@test.com,Mindy,235,small,FALSE,FALSE,high,Los Angeles,CO,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.9190583,-118.2995205
30,Hootielover28@test.com,Hootie,73,extra small,TRUE,FALSE,low,Los Angeles,NY,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.63054673,-117.8071583
31,Isabellalover18@test.com,Isabella,154,extra small,FALSE,TRUE,average,Honolulu,HA,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.39851658,-116.9725476
32,Lunalover6@test.com,Luna,159,medium,TRUE,FALSE,average,Honolulu,CA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.87971162,-116.6080169
33,Nemesislover20@test.com,Nemesis,184,small,TRUE,TRUE,low,Denver,TX,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.984862,-117.5904162
34,Tater Tatlover27@test.com,Tater Tat,8,large,TRUE,FALSE,high,Denver,CA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.54396655,-116.5826032
35,Lulla Belllover4@test.com,Lulla Bell,10,medium,FALSE,TRUE,low,Dalas,TX,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.94748664,-117.7005533
36,Roger Balllover5@test.com,Roger Ball,101,extra large,TRUE,FALSE,low,New York,CA,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.67822249,-117.9382797
37,Oberonlover29@test.com,Oberon,245,extra small,FALSE,TRUE,high,Dalas,CA,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.13904517,-118.3075797
38,Sashalover25@test.com,Sasha,347,extra large,TRUE,FALSE,low,Los Angeles,CA,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.16186652,-118.1772902
39,Lululover26@test.com,Lulu,239,extra small,FALSE,TRUE,low,New York,TX,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.40897224,-117.5953285
40,My Boylover28@test.com,My Boy,95,small,TRUE,FALSE,high,Los Angeles,NY,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.53921452,-117.686181
41,Lucy28/2969lover26@test.com,Lucy28/2969,34,extra small,TRUE,TRUE,average,Denver,HA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.13244252,-117.8005994
42,Rickylover23@test.com,Ricky,114,extra small,TRUE,FALSE,average,Los Angeles,CO,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.57700306,-118.2638208
43,Rosalover7@test.com,Rosa,58,extra small,FALSE,TRUE,low,Dalas,TX,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.21129258,-117.5156435
44,Lightninglover9@test.com,Lightning,293,small,TRUE,FALSE,high,Dalas,TX,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.66264763,-117.7776387
45,Finneganlover17@test.com,Finnegan,45,extra large,TRUE,TRUE,low,Dalas,TX,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.28021676,-116.7529129
46,Leolover20@test.com,Leo,151,extra large,FALSE,FALSE,average,New York,NY,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.32009409,-117.8206428
47,Sockslover17@test.com,Socks,262,extra large,FALSE,FALSE,high,New York,NY,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.86054415,-117.1547083
48,Puff'n'Stufflover25@test.com,Puff'n'Stuff,295,extra large,FALSE,TRUE,high,New York,CA,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.09191375,-117.0803697
49,Buddylover3@test.com,Buddy,349,medium,FALSE,TRUE,high,Dalas,CO,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.11658565,-117.5591108
50,Magnuslover28@test.com,Magnus,245,extra small,FALSE,TRUE,average,New York,CO,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.33270311,-116.7716215
51,Bobbylover22@test.com,Bobby,193,medium,FALSE,TRUE,low,Los Angeles,NY,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.80114168,-117.6228703
52,Esmereldalover27@test.com,Esmerelda,310,medium,FALSE,TRUE,high,Honolulu,CA,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.17945282,-116.4179151
53,Rocketlover18@test.com,Rocket,308,large,FALSE,TRUE,low,Honolulu,TX,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.38627073,-117.8263307
54,Binglover29@test.com,Bing,99,small,FALSE,FALSE,average,Honolulu,TX,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.30270793,-117.3259804
55,Jauntylover17@test.com,Jaunty,300,large,TRUE,TRUE,high,Los Angeles,TX,null,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.56556392,-117.5133798
56,Carlitolover13@test.com,Carlito,199,small,FALSE,TRUE,high,Honolulu,TX,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.7851625,-117.9611273
57,Ozlover14@test.com,Oz,11,extra small,TRUE,FALSE,low,Dalas,CA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.9314441,-117.8129126
58,Magnumlover25@test.com,Magnum,250,medium,TRUE,TRUE,high,Los Angeles,HA,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.50267467,-118.1203556
59,Bulover6@test.com,Bu,28,small,TRUE,FALSE,average,Honolulu,HA,null,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.16563707,-116.6032637
60,Otislover22@test.com,Otis,93,medium,FALSE,FALSE,high,Dalas,CA,null,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.17116364,-118.1799201
61,Gigilover11@test.com,Gigi,257,small,FALSE,FALSE,average,Denver,CA,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.36693479,-117.9670971
62,Calypsolover4@test.com,Calypso,44,extra small,TRUE,TRUE,high,Dalas,CO,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.33981561,-116.9736952
63,Tylover19@test.com,Ty,88,extra small,FALSE,FALSE,average,Denver,CA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.85542106,-116.7847032
64,Guinnesslover18@test.com,Guinness,175,large,FALSE,TRUE,low,Los Angeles,TX,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.21859324,-118.090816
65,Babylover17@test.com,Baby,259,large,FALSE,FALSE,low,Dalas,CA,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.9579403,-117.7656555
66,Maceolover20@test.com,Maceo,219,extra large,FALSE,FALSE,low,Los Angeles,HA,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.58206977,-117.9622172
67,Stinkylover10@test.com,Stinky,31,extra large,FALSE,FALSE,average,Honolulu,TX,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.76099882,-117.9531742
68,Tontolover9@test.com,Tonto,151,small,FALSE,FALSE,low,Denver,CO,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.94170491,-117.2760597
69,Zorrolover1@test.com,Zorro,52,small,FALSE,FALSE,average,Denver,NY,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.82347307,-117.7769523
70,Odorokilover13@test.com,Odoroki,286,extra large,FALSE,TRUE,average,New York,CO,null,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.66820429,-117.605625
71,Felixlover25@test.com,Felix,221,extra large,TRUE,FALSE,average,Honolulu,HA,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.42520407,-117.3969669
72,Romolover10@test.com,Romo,74,medium,FALSE,FALSE,low,Denver,CO,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.31166801,-117.0778019
73,Bluelover2@test.com,Blue,125,small,FALSE,TRUE,high,Dalas,TX,null,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.48525642,-117.2850485
74,Kashilover1@test.com,Kashi,342,medium,FALSE,FALSE,low,Denver,CA,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.64069329,-117.2272641
75,Cocolover30@test.com,Coco,220,large,FALSE,FALSE,high,Denver,TX,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.05555558,-116.7385601
76,Mellow Mannylover30@test.com,Mellow Manny,115,small,TRUE,FALSE,high,Los Angeles,CA,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.1270638,-117.4860907
77,Tesslover24@test.com,Tess,326,extra small,TRUE,FALSE,average,Dalas,CA,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.86576908,-117.911064
78,Kaylalover13@test.com,Kayla,29,extra large,FALSE,FALSE,low,New York,TX,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.05849192,-118.0098856
79,Julietlover27@test.com,Juliet,93,medium,TRUE,FALSE,low,Los Angeles,CO,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.1914024,-116.6716861
80,Ms. Ringtaillover9@test.com,Ms. Ringtail,245,extra large,FALSE,FALSE,low,Denver,CA,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.08018865,-117.5421417
81,Chowderlover23@test.com,Chowder,143,extra large,TRUE,TRUE,average,Denver,NY,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.11062027,-117.4551263
82,Edwardlover21@test.com,Edward,188,extra small,TRUE,FALSE,average,Los Angeles,CO,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.75268071,-117.9151716
83,Nonilover17@test.com,Noni,64,extra small,TRUE,FALSE,high,New York,CA,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.6215168,-116.6187814
84,Mishalover17@test.com,Misha,34,small,TRUE,TRUE,high,New York,TX,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.26788161,-116.5685959
85,Cyan Pearlalover4@test.com,Cyan Pearla,204,extra large,TRUE,TRUE,high,Denver,NY,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.06942423,-117.6568442
86,Campbelllover19@test.com,Campbell,192,extra small,FALSE,TRUE,average,New York,HA,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.48131636,-117.469155
87,Moseslover3@test.com,Moses,216,extra large,FALSE,FALSE,low,Los Angeles,CA,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.68610794,-118.0018767
88,Fortunelover6@test.com,Fortune,156,medium,FALSE,TRUE,low,Honolulu,CO,null,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.18270451,-117.2162037
89,Frannielover5@test.com,Frannie,175,small,TRUE,FALSE,low,Dalas,CO,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.91582485,-116.7343505
90,Charlielover17@test.com,Charlie,88,extra large,FALSE,FALSE,low,Los Angeles,TX,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.42068314,-116.4371574
91,Minoulover7@test.com,Minou,348,extra small,FALSE,TRUE,high,Denver,CO,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.58746245,-118.0758392
92,Jasminelover9@test.com,Jasmine,89,small,TRUE,TRUE,low,Dalas,CO,null,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.69491164,-117.1816125
93,Petunialover21@test.com,Petunia,158,extra large,FALSE,TRUE,low,Honolulu,HA,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.22130758,-116.411571
94,Mambalover18@test.com,Mamba,329,large,TRUE,FALSE,high,Los Angeles,NY,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.9985001,-117.6208481
95,T Clover27@test.com,T C,289,medium,FALSE,FALSE,average,New York,CO,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.01115267,-118.2162429
96,Bobbylover21@test.com,Bobby,117,large,TRUE,FALSE,low,Denver,CO,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.69775501,-116.503665
97,Josielover29@test.com,Josie,115,extra small,TRUE,TRUE,average,Honolulu,TX,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.81891849,-117.680485
98,Pascallover28@test.com,Pascal,297,large,FALSE,FALSE,average,Los Angeles,NY,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.83049629,-117.4065146
99,Daiseylover28@test.com,Daisey,21,extra small,TRUE,TRUE,high,Honolulu,TX,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.22498827,-118.184995
100,Kittylover10@test.com,Kitty,217,extra large,FALSE,TRUE,low,Denver,CO,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.93828118,-117.5858552
101,Rubylover18@test.com,Ruby,174,small,FALSE,FALSE,high,Los Angeles,HA,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,34.00199584,-117.7697505
102,Millie Maelover8@test.com,Millie Mae,134,small,TRUE,TRUE,high,Los Angeles,NY,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.46512836,-117.2776178
103,Snowballlover11@test.com,Snowball,130,large,FALSE,TRUE,average,New York,CO,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.87562057,-118.2152146
104,Lunalover11@test.com,Luna,344,small,FALSE,FALSE,high,New York,HA,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.09288491,-117.5203184
105,Petralover20@test.com,Petra,177,small,FALSE,TRUE,average,New York,CO,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.99950363,-116.7031799
106,Louiselover2@test.com,Louise,104,large,FALSE,TRUE,average,Dalas,HA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.27207156,-118.2761904
107,Marcolover6@test.com,Marco,345,extra small,TRUE,TRUE,high,Dalas,NY,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.9429436,-117.7627109
108,Magiclover19@test.com,Magic,132,large,FALSE,TRUE,average,Denver,HA,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.37149408,-116.9039685
109,Ishaanlover2@test.com,Ishaan,131,extra small,TRUE,FALSE,low,Dalas,HA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.25354029,-117.4311576
110,Jazzlover12@test.com,Jazz,92,medium,FALSE,FALSE,high,Denver,CA,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.1284772,-117.3566208
111,Moose /Busterlover16@test.com,Moose /Buster,346,medium,FALSE,FALSE,low,Dalas,NY,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.74017086,-117.4647739
112,Squirrel / Resulover4@test.com,Squirrel / Resu,219,medium,TRUE,TRUE,average,Dalas,HA,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.84636935,-118.1401299
113,Trixielover12@test.com,Trixie,91,extra small,FALSE,FALSE,average,Dalas,CA,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.79608145,-116.8052036
114,Rileylover10@test.com,Riley,204,extra small,TRUE,TRUE,low,Los Angeles,TX,null,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.56284622,-116.7218488
115,Lucylover19@test.com,Lucy,267,extra small,FALSE,TRUE,average,Honolulu,NY,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.46269954,-117.2278462
116,Tigerlover19@test.com,Tiger,332,extra small,FALSE,FALSE,average,Dalas,CO,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.30111264,-117.2092466
117,Maxlover18@test.com,Max,146,extra large,TRUE,FALSE,average,Los Angeles,CO,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.98099835,-117.6404938
118,Starlover26@test.com,Star,200,medium,FALSE,TRUE,high,Los Angeles,CA,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.70973038,-116.565986
119,Tortuelover2@test.com,Tortue,78,extra large,FALSE,TRUE,low,Honolulu,CA,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.59161058,-116.4340059
120,Stevielover13@test.com,Stevie,316,large,FALSE,TRUE,average,Honolulu,TX,null,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.68258631,-118.0699815
121,Solsticelover14@test.com,Solstice,147,extra large,FALSE,TRUE,high,Denver,CO,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.97387972,-116.7732597
